delta_t,ax,ay,az,gx,gy,gz,qw,qx,qy,qz,lin_ax,lin_ay,lin_az
0.02,0.0,-0.07,0.89,0.05,0.03,0.1,1.0,-0.03,0.03,0.05,0.07,-0.01,-0.11
0.02,-0.06,-0.06,0.96,-0.13,0.12,-0.03,1.0,-0.03,0.03,0.05,0.0,0.0,-0.03
0.02,-0.13,-0.05,1.03,-0.21,0.08,-0.02,1.0,-0.04,0.03,0.05,-0.06,0.02,0.03
0.02,-0.1,-0.03,1.02,-0.09,-0.09,0.06,1.0,-0.04,0.03,0.05,-0.03,0.04,0.02
0.02,-0.06,0.01,0.96,0.02,-0.23,0.02,1.0,-0.04,0.03,0.05,0.0,0.08,-0.04
0.02,-0.06,0.0,0.93,-0.03,-0.23,0.01,1.0,-0.04,0.03,0.05,-0.0,0.07,-0.07
0.02,-0.1,0.01,0.94,-0.24,-0.31,-0.08,1.0,-0.04,0.03,0.05,-0.04,0.08,-0.05
0.02,-0.03,-0.01,0.94,-0.28,-0.28,-0.01,1.0,-0.04,0.02,0.05,0.02,0.06,-0.06
0.02,0.01,0.01,0.91,-0.13,-0.15,-0.01,1.0,-0.04,0.02,0.05,0.06,0.09,-0.08
0.02,-0.0,0.04,0.9,-0.15,-0.04,-0.01,1.0,-0.04,0.02,0.05,0.04,0.12,-0.09
0.02,-0.02,-0.01,0.93,-0.14,-0.06,0.11,1.0,-0.04,0.02,0.05,0.02,0.08,-0.07
0.02,0.0,-0.02,0.91,-0.25,-0.28,0.03,1.0,-0.05,0.02,0.05,0.04,0.07,-0.09
0.02,-0.03,-0.02,0.92,-0.46,-0.34,-0.13,1.0,-0.05,0.01,0.05,-0.0,0.07,-0.07
0.02,-0.1,-0.03,0.96,-0.43,0.0,-0.07,1.0,-0.05,0.01,0.05,-0.07,0.07,-0.03
0.02,-0.14,-0.08,0.99,-0.17,0.33,0.29,1.0,-0.06,0.01,0.05,-0.11,0.03,0.0
0.02,-0.06,-0.14,1.06,-0.02,0.26,0.52,1.0,-0.06,0.02,0.05,-0.02,-0.03,0.07
0.02,-0.03,-0.18,1.07,-0.05,-0.17,0.31,1.0,-0.06,0.02,0.06,0.02,-0.06,0.08
0.02,-0.05,-0.18,0.99,0.01,-0.4,0.09,1.0,-0.06,0.01,0.06,-0.02,-0.06,0.0
0.02,-0.06,-0.18,0.93,0.05,-0.06,0.24,1.0,-0.06,0.01,0.06,-0.03,-0.07,-0.07
0.02,-0.05,-0.17,0.96,-0.17,0.29,0.35,1.0,-0.06,0.01,0.06,-0.01,-0.06,-0.03
0.02,-0.05,-0.22,1.03,-0.21,0.43,0.37,1.0,-0.06,0.02,0.07,-0.01,-0.11,0.04
0.02,-0.08,-0.19,1.05,-0.21,0.29,0.28,1.0,-0.06,0.02,0.07,-0.03,-0.07,0.06
